,location,name,span,verb
22434,84236,Ron,"“I’d do your fly by hand, though,” Ron advised Harry, sniggering when Harry",advised
22435,84241,Harry,” said Harry as he took the rectangular parcel.,said
22436,84244,Ron,"This isn’t your average book,” said Ron.",said
22437,84256,Bill,"Bill and Monsieur Delacour were finishing their breakfasts, while",finishing
22438,84257,Weasley,Mrs. Weasley stood chatting to them over the frying pan.,stood
22439,84262,Harry,"Harry sat down, took the square parcel she had indicated, and unwrapped",sat
22440,84272,Harry,The rest of her speech was lost; Harry had got up and hugged her,got
22441,84280,Hermione,"Hermione, hurrying into the kitchen and",hurrying
22442,84286,Ron,said Ron.,said
22443,84295,Hermione,"Hermione did not linger at the table, as the arrival of",linger
22444,84297,Hermione,"Hermione said brightly, taking Harry’s presents out",said
22445,84306,Harry,"Feeling nervous, Harry followed Ginny into",followed
22446,84319,Ginny,"Ginny looked up into Harry’s face, took a deep breath, and said, “Happy",looked
22447,84343,Harry,Harry was kissing,kissing
22448,84348,Ron,"Oh,” said Ron pointedly.",said
22449,84350,Hermione,"Hermione was just behind him, slightly out of breath.",was
22450,84352,Ginny,", then Ginny said in a flat little voice,",said
22451,84354,Hermione,Ron’s ears were scarlet; Hermione looked nervous.,looked
22452,84355,Harry,Harry wanted to slam,wanted
22453,84372,Ron,"Ron marched downstairs, through the still-crowded kitchen and into the",marched
22454,84375,Ron,"Once he reached the seclusion of the freshly mow lawn, Ron rounded on",rounded
22455,84379,Hermione,as Hermione caught up with,caught
22456,84382,Ron,But Ron held up a hand to silence her.,held
22457,84395,Harry,"“It won’t happen again,” said Harry harshly.",said
22458,84400,Ron,"Ron looked half resentful, half sheepish",looked
22459,84402,Ginny,Ginny did not seek another one-to-one meeting with Harry for the rest of,seek
22460,84419,Hermione,Hermione made purple and gold streamers erupt from the end of her wand,made
22461,84425,Hermione,"” said Hermione, looking both pleased and a little con¬",said
22462,84427,Harry,"Harry turned away, smiling to himself.",turned
22463,84437,Weasley,"Weasley was suspending with her wand, rather than risk carrying it over the",suspending
22464,84443,Harry,"Harry said,",said
22465,84446,Ron,"Over her shoulder, Ron gave Harry",gave
22466,84450,Hagrid,Hagrid had honored,honored
22467,84453,Harry,"smiled as he shook Harry’s hand, Harry thought he looked rather unhappy.",thought
22468,84455,Tonks,"was all very odd; Tonks, beside him, looked simply radiant.",looked
22469,84457,Hagrid,"“Seventeen, eh!” said Hagrid as he accepted a bucket-sized glass of wine",said
22470,84460,Harry,"“Vaguely,” said Harry, grinning up at him.",said
22471,84463,Hagrid,Hagrid Chortled,chortled
22472,84465,Hermione,"We’re fine,” said Hermione.",said
22473,84470,Harry,Harry avoided Ron’s and Hermione’s gazes and Hagrid rum¬,avoided
22474,84472,—,"Here, Harry—couldn’ think what ter get yeh, but then",think
22475,84480,Hagrid,"’S’nothin’,” said Hagrid with a wave of a dustbin-lid-sized hand, “An’ there’s",said
22476,84484,Charlie,"Charlie approached, running his hand slightly ruefully over his new, bru¬",approached
22477,84489,ter,“Bin meanin’ ter write fer ages.,write
22478,84492,Charlie,Charlie laughed.,laughed
22479,84497,Charlie,” said Charlie.,said
22480,84499,Charlie,” said Charlie.,said
22481,84503,Mum,Mum’s getting,getting
22482,84517,Lupin,"“We shouldn’t be here,” said Lupin at once.",said
22483,84522,Weasley,Mrs. Weasley looked bewildered.,looked
22484,84531,Harry,"Scrimgeour came within range of the lantern light, Harry saw that he looked",saw
22485,84533,Scrimgeour,"Sorry to intrude,” said Scrimgeour, as he limped to a halt before the table.",said
22486,84540,Harry,"Thanks,” said Harry.",said
22487,84541,Scrimgeour,Scrimgeour went on.,went
